Date,Open,High,Low,Close,Adj Close,Volume
2017-04-27,123.120003,123.209999,122.690002,123.019997,111.013412,1868200
2017-04-28,123.160004,123.209999,122.550003,122.610001,110.643433,1795800
2017-05-01,122.930000,123.190002,122.620003,122.930000,110.932198,1983100
2017-05-02,123.089996,123.250000,122.699997,122.930000,110.932198,1756900
2017-05-03,122.589996,122.779999,122.279999,122.629997,110.661469,3691000
2017-05-04,122.830002,122.830002,122.160004,122.720001,110.742691,1564300
2017-05-05,122.949997,123.330002,122.680000,123.330002,111.293167,2057700
2017-05-08,123.360001,123.449997,122.900002,123.139999,111.121696,2150900
2017-05-09,123.360001,123.430000,122.849998,123.099998,111.085609,1846200
2017-05-10,123.089996,123.379997,122.930000,123.370003,111.329247,1468500
2017-05-11,123.019997,123.129997,122.330002,123.010002,111.004379,1499600
2017-05-12,122.910004,122.910004,122.599998,122.769997,110.787819,1235300
2017-05-15,123.070000,123.589996,123.040001,123.430000,111.383385,3097000
2017-05-16,123.629997,123.650002,123.070000,123.360001,111.320244,2128400
2017-05-17,122.309998,122.559998,121.070000,121.139999,109.316902,3703500
2017-05-18,120.940002,122.019997,120.849998,121.500000,109.641777,2883400
2017-05-19,121.910004,122.769997,121.820000,122.370003,110.426865,2144200
2017-05-22,122.669998,123.099998,122.639999,123.019997,111.013412,1810100
2017-05-23,123.250000,123.389999,122.949997,123.230003,111.202919,1796600
2017-05-24,123.440002,123.660004,123.230003,123.589996,111.527771,1552200
2017-05-25,123.900002,124.269997,123.790001,124.110001,111.997032,1492300
2017-05-26,124.000000,124.150002,123.930000,124.089996,111.978973,1320800
2017-05-30,123.870003,124.059998,123.709999,123.889999,111.798485,1348300
2017-05-31,124.010002,124.089996,123.309998,123.849998,111.762413,2043800
2017-06-01,124.169998,125.000000,123.959999,125.000000,112.800156,1926700
2017-06-02,125.089996,125.580002,124.870003,125.410004,113.170158,2839300
2017-06-05,125.419998,125.500000,125.220001,125.250000,113.025764,1494200
2017-06-06,124.959999,125.290001,124.779999,124.930000,112.737007,2985200
2017-06-07,125.120003,125.239998,124.680000,125.070000,112.863342,1253300
2017-06-08,125.120003,125.529999,124.879997,125.290001,113.061882,1826700
2017-06-09,125.480003,126.019997,124.449997,125.190002,112.971642,2585600
2017-06-12,125.059998,125.199997,124.629997,125.169998,112.953583,1973500
2017-06-13,125.519997,125.839996,125.320000,125.790001,113.513062,1567400
2017-06-14,126.000000,126.019997,125.099998,125.610001,113.350632,2584300
2017-06-15,124.769997,125.349998,124.629997,125.330002,113.097969,2483500
2017-06-16,125.419998,125.529999,124.739998,125.250000,113.025764,2018000
2017-06-19,125.669998,126.349998,125.669998,126.269997,113.946220,1816100
2017-06-20,126.160004,126.169998,125.400002,125.410004,113.170158,1359500
2017-06-21,125.110001,125.199997,124.510002,124.690002,113.038689,3364600
2017-06-22,124.779999,125.080002,124.589996,124.739998,113.084053,1639300
2017-06-23,124.809998,125.190002,124.580002,125.050003,113.365059,1829300
2017-06-26,125.449997,125.690002,124.949997,125.139999,113.446663,2605600
2017-06-27,125.089996,125.230003,124.099998,124.110001,112.512909,2386300
2017-06-28,124.769997,125.410004,124.589996,125.279999,113.573563,2444400
2017-06-29,125.459999,125.480003,123.480003,124.279999,112.667007,2354500
2017-06-30,124.760002,124.900002,124.300003,124.449997,112.821129,1910000
2017-07-03,124.989998,125.300003,124.750000,124.750000,113.093102,1645700
2017-07-05,124.980003,125.019997,124.389999,124.889999,113.220024,2167500
2017-07-06,124.440002,124.550003,123.559998,123.660004,112.104950,1881800
2017-07-07,123.959999,124.620003,123.900002,124.519997,112.884590,1709700
2017-07-10,124.500000,124.830002,124.360001,124.610001,112.966179,1404700
2017-07-11,124.529999,124.730003,123.830002,124.580002,112.938965,1560200
2017-07-12,125.199997,125.629997,125.099998,125.470001,113.745827,1993100
2017-07-13,125.559998,125.760002,125.309998,125.669998,113.927139,1514100
2017-07-14,125.769997,126.500000,125.650002,126.230003,114.434822,1410900
2017-07-17,126.279999,126.449997,126.120003,126.230003,114.434822,1798400
2017-07-18,126.110001,126.330002,125.779999,126.309998,114.507324,2010000
2017-07-19,126.510002,127.050003,126.510002,127.040001,115.169121,1276400
2017-07-20,127.279999,127.279999,126.800003,127.120003,115.241653,1463800
